n.,data,estado,país,atualizado_em,confirmados,mortes,recuperados
20562,2020-05-01,,Brazil,2020-05-02 02:32:27,92202.0,6412.0,38039.0
20889,2020-05-02,,Brazil,2020-05-03 02:32:28,97100.0,6761.0,40937.0
21216,2020-05-03,,Brazil,2020-05-04 02:32:28,101826.0,7051.0,42991.0
21543,2020-05-04,,Brazil,2020-05-05 02:32:34,108620.0,7367.0,45815.0
21870,2020-05-05,,Brazil,2020-05-06 02:32:31,115455.0,7938.0,48221.0
22197,2020-05-06,,Brazil,2021-04-02 15:13:53,126611.0,8588.0,51370.0
22524,2020-05-07,,Brazil,2021-04-02 15:13:53,135773.0,9190.0,55350.0
22851,2020-05-08,,Brazil,2021-04-02 15:13:53,146894.0,10017.0,59297.0
23178,2020-05-09,,Brazil,2021-04-02 15:13:53,156061.0,10656.0,61685.0
23505,2020-05-10,,Brazil,2021-04-02 15:13:53,162699.0,11123.0,64957.0
23832,2020-05-11,,Brazil,2021-04-02 15:13:53,169594.0,11653.0,67384.0
24159,2020-05-12,,Brazil,2021-04-02 15:13:53,178214.0,12461.0,72597.0
24486,2020-05-13,,Brazil,2021-04-02 15:13:53,190137.0,13240.0,78424.0
24814,2020-05-14,,Brazil,2021-04-02 15:13:53,203165.0,13999.0,79479.0
25195,2020-05-15,,Brazil,2021-04-02 15:13:53,220291.0,14962.0,84970.0
25576,2020-05-16,,Brazil,2021-04-02 15:13:53,233511.0,15662.0,89672.0
25957,2020-05-17,,Brazil,2021-04-02 15:13:53,241080.0,16118.0,94122.0
26338,2020-05-18,,Brazil,2021-04-02 15:13:53,255368.0,16853.0,100459.0
26719,2020-05-19,,Brazil,2021-04-02 15:13:53,271885.0,17983.0,106794.0
27259,2020-05-20,Acre,Brazil,2021-04-02 15:13:53,2817.0,76.0,0.0
27262,2020-05-20,Alagoas,Brazil,2021-04-02 15:13:53,4437.0,251.0,0.0
27265,2020-05-20,Amapa,Brazil,2021-04-02 15:13:53,4549.0,142.0,0.0
27266,2020-05-20,Amazonas,Brazil,2021-04-02 15:13:53,23704.0,1561.0,0.0
27282,2020-05-20,Bahia,Brazil,2021-04-02 15:13:53,11197.0,362.0,0.0
27308,2020-05-20,Ceara,Brazil,2021-04-02 15:13:53,30560.0,1900.0,0.0
27325,2020-05-20,Distrito Federal,Brazil,2021-04-02 15:13:53,5161.0,77.0,0.0
27328,2020-05-20,Espirito Santo,Brazil,2021-04-02 15:13:53,8092.0,341.0,0.0
27341,2020-05-20,Goias,Brazil,2021-04-02 15:13:53,1978.0,78.0,0.0
27388,2020-05-20,Maranhao,Brazil,2021-04-02 15:13:53,15114.0,634.0,0.0
27393,2020-05-20,Mato Grosso,Brazil,2021-04-02 15:13:53,1054.0,32.0,0.0
27394,2020-05-20,Mato Grosso do Sul,Brazil,2021-04-02 15:13:53,693.0,17.0,0.0
27403,2020-05-20,Minas Gerais,Brazil,2021-04-02 15:13:53,5286.0,177.0,0.0
27445,2020-05-20,Para,Brazil,2021-04-02 15:13:53,18135.0,1633.0,0.0
27446,2020-05-20,Paraiba,Brazil,2021-04-02 15:13:53,5838.0,230.0,0.0
27447,2020-05-20,Parana,Brazil,2021-04-02 15:13:53,2616.0,137.0,0.0
27449,2020-05-20,Pernambuco,Brazil,2021-04-02 15:13:53,22560.0,1834.0,0.0
27450,2020-05-20,Piaui,Brazil,2021-04-02 15:13:53,2637.0,87.0,0.0
27465,2020-05-20,Rio Grande do Norte,Brazil,2021-04-02 15:13:53,3796.0,170.0,0.0
27466,2020-05-20,Rio Grande do Sul,Brazil,2021-04-02 15:13:53,4973.0,161.0,0.0
27467,2020-05-20,Rio de Janeiro,Brazil,2021-04-02 15:13:53,30372.0,3237.0,0.0
27468,2020-05-20,Rondonia,Brazil,2021-04-02 15:13:53,2499.0,90.0,0.0
27469,2020-05-20,Roraima,Brazil,2021-04-02 15:13:53,2067.0,64.0,0.0
27477,2020-05-20,Santa Catarina,Brazil,2021-04-02 15:13:53,5499.0,94.0,0.0
27478,2020-05-20,Sao Paulo,Brazil,2021-04-02 15:13:53,69859.0,5363.0,0.0
27482,2020-05-20,Sergipe,Brazil,2021-04-02 15:13:53,4277.0,69.0,0.0
27506,2020-05-20,Tocantins,Brazil,2021-04-02 15:13:53,1809.0,42.0,0.0
27715,2020-05-21,Acre,Brazil,2021-04-02 15:13:53,3103.0,78.0,0.0
27718,2020-05-21,Alagoas,Brazil,2021-04-02 15:13:53,4916.0,262.0,0.0
27721,2020-05-21,Amapa,Brazil,2021-04-02 15:13:53,5188.0,151.0,0.0
27722,2020-05-21,Amazonas,Brazil,2021-04-02 15:13:53,25367.0,1620.0,0.0
27738,2020-05-21,Bahia,Brazil,2021-04-02 15:13:53,11941.0,376.0,0.0
27764,2020-05-21,Ceara,Brazil,2021-04-02 15:13:53,31413.0,2161.0,0.0
27781,2020-05-21,Distrito Federal,Brazil,2021-04-02 15:13:53,5542.0,84.0,0.0
27784,2020-05-21,Espirito Santo,Brazil,2021-04-02 15:13:53,8878.0,363.0,0.0
27797,2020-05-21,Goias,Brazil,2021-04-02 15:13:53,2114.0,85.0,0.0
27844,2020-05-21,Maranhao,Brazil,2021-04-02 15:13:53,16058.0,663.0,0.0
27849,2020-05-21,Mato Grosso,Brazil,2021-04-02 15:13:53,1172.0,34.0,0.0
27850,2020-05-21,Mato Grosso do Sul,Brazil,2021-04-02 15:13:53,746.0,17.0,0.0
27859,2020-05-21,Minas Gerais,Brazil,2021-04-02 15:13:53,5596.0,191.0,0.0
27901,2020-05-21,Para,Brazil,2021-04-02 15:13:53,19756.0,1852.0,0.0
27902,2020-05-21,Paraiba,Brazil,2021-04-02 15:13:53,6238.0,245.0,0.0
27903,2020-05-21,Parana,Brazil,2021-04-02 15:13:53,2810.0,141.0,0.0
27905,2020-05-21,Pernambuco,Brazil,2021-04-02 15:13:53,23911.0,1925.0,0.0
27906,2020-05-21,Piaui,Brazil,2021-04-02 15:13:53,2852.0,91.0,0.0
27921,2020-05-21,Rio Grande do Norte,Brazil,2021-04-02 15:13:53,4060.0,178.0,0.0
27922,2020-05-21,Rio Grande do Sul,Brazil,2021-04-02 15:13:53,5473.0,166.0,0.0
27923,2020-05-21,Rio de Janeiro,Brazil,2021-04-02 15:13:53,32089.0,3412.0,0.0
27924,2020-05-21,Rondonia,Brazil,2021-04-02 15:13:53,2659.0,101.0,0.0
